buyercompany,cer,projectnumber,sector,industry,buyerstat,psize,locationregion,location,treat,buyercountry,investmentmus,subregion,yrs,stperiodktco2eyr,expectedaccumulated2020ktco2e,expectedaccumulated2030ktco2e,Africa_x,Asia & Pacific_x,Europe & Central Asia_x,Latin America_x,Middle-East_x,Asia & PacificP,Latin AmericaP,AfricaP,Middle-EastP,Europe & Central AsiaP,Africa_y,Asia & Pacific_y,Europe & Central Asia_y,Latin America_y,Middle-East_y,Africa,Asia & Pacific,Europe & Central Asia,Latin America,Middle-East
Mitsubishi,9.90875009375,16,Consumer Staples,Distributors - Consumer Staples,privateglobal,0.125,Asia & Pacific,Thailand,0.0,Japan ,111.8812495125,Southeast Asia,7.0,440.2062488125,4394.25,7296.625,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
Mitsubishi Corporation,10.123750074999998,32,Consumer Staples,Distributors - Consumer Staples,privateglobal,0.46875,Asia & Pacific,China,0.0,Japan ,57.93750024062499,East Asia,7.0,182.15000040625003,1780.875,3574.9375,0.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
Mitsubishi UFJ Securities,10.524285800000001,7,Financials,Institutional Financial Svcs,privateglobal,0.42857142857142855,Asia & Pacific,Thailand,0.0,Japan ,13.128571571428571,Southeast Asia,7.428571428571429,61.62857100000001,559.0,974.2857142857143,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Mitsubishi+Morgan Stanley,14.21,1,Financials,Institutional Financial Svcs,privateglobal,0.0,Asia & Pacific,China,0.0,Japan ,259.20001,East Asia,7.0,425.70000999999996,4123.0,8382.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mitsui & Co,9.80200012,5,Materials,Iron & Steel,privateglobal,0.2,Asia & Pacific,China,0.0,Japan ,121.14000175999998,East Asia,7.0,280.9800002,2404.6,3469.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Morgan Stanley,12.995,6,Financials (Special),Specialty Finance,privateglobal,0.16666666666666666,Asia & Pacific,Indonesia,0.0,United K. ,74.21666633333332,Southeast Asia,7.0,144.86666866666667,1344.0,2793.8333333333335,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Myclimate+WWF,11.84,2,Foundation,0,Foundation,1.0,Asia & Pacific,Papua New Guinea,1.0,Switzerland ,6.2953072,Southeast Asia,7.0,62.8999995,519.0,1148.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
NATIXIS,11.84,1,Financials,Banking,privateglobal,0.0,Asia & Pacific,China,0.0,United K. ,35.400002,East Asia,7.0,145.60001,1330.0,2341.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NEDO,11.0,1,Government,Government Agencies,Government,1.0,Asia & Pacific,China,0.0,Japan ,6.5,East Asia,7.0,22.1,252.0,464.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NEFCO,13.770000099999999,3,Financials,financial institutions,privateglobal,0.3333333333333333,Asia & Pacific,Lao PDR,0.0,Sweden ,16.400000333333335,Southeast Asia,7.0,37.766668,293.6666666666667,671.6666666666666,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Natsource,10.858888988888886,9,Financials,Asset Management,privateglobal,0.1111111111111111,Asia & Pacific,China,0.0,United K. ,16.85300011111111,East Asia,8.666666666666666,64.98888788888888,633.2222222222222,945.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Neas Energy,17.77,1,Financials,Asset Management,privateglobal,1.0,Asia & Pacific,Thailand,0.0,Denmark ,15.7,Southeast Asia,10.0,3.8,35.0,38.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Netherlands Clean Development Facility,10.485000066666666,6,Government,Supranationals,MDB,0.16666666666666666,Asia & Pacific,India,0.3333333333333333,Netherlands ,120.18333503333332,Southern Asia,8.0,745.5833315,7106.0,8092.5,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Noble Carbon,11.864421239393936,33,Financials (Special),Specialty Finance,privateglobal,0.12121212121212122,Latin America,China,0.0,United K. ,67.09999992121212,South America,7.212121212121212,108.76969706060606,887.3030303030303,1756.7272727272727,0.0,32.0,0.0,1.0,0.0,0.9696969696969697,0.030303030303030304,0.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,32.0,0.0,1.0,0.0
Nomura,11.84,1,Financials,Real Estate,privateglobal,0.0,Asia & Pacific,China,0.0,United K. ,66.199997,East Asia,7.0,120.9,1257.0,2467.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Norwegian Ministry of Finance,12.0,15,Government,Government Agencies,privatelocal,0.0,Asia & Pacific,Lao PDR,0.0,Norway ,58.2142855,Southeast Asia,7.2,103.07999986666667,985.6,1992.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Numerco,10.0,2,Business consulting and others,Environmental Services,privateglobal,0.0,Asia & Pacific,India,1.0,United K. ,66.6499975,Southern Asia,10.0,124.949995,1249.5,1249.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Nuon Energy,10.66,1,Utilities,Utilities,privatelocal,0.0,Asia & Pacific,China,0.0,Netherlands ,11.4,East Asia,10.0,48.599998,410.0,486.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Onecarbon International BV,14.805,2,Industrials,Waste & Environ Svcs & Equip,privateglobal,0.0,Asia & Pacific,China,0.0,United K. ,62.450001,East Asia,7.0,118.10000000000001,1206.5,2215.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Orbeo,10.9914287,14,Business consulting and others,Environmental Services,privateglobal,0.35714285714285715,Asia & Pacific,Vietnam,0.0,United K. ,22.684615638461537,Southeast Asia,7.0,64.97142907142859,620.2142857142857,1270.2857142857142,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Origin Carbon Management,13.4083331,6,Business consulting and others,Environmental Services,privatelocal,0.16666666666666666,Asia & Pacific,China,0.0,United K. ,16.283333333333335,East Asia,7.0,56.033332666666674,445.8333333333333,1006.3333333333334,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Originate Carbon,10.030000000000001,8,Business consulting and others,Environmental Services,privatelocal,0.125,Asia & Pacific,China,0.0,United K. ,25.1812498725,East Asia,9.25,109.92499962499998,885.25,1341.25,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
PEAR Carbon Offset Initiative,14.0,1,Business consulting and others,Environmental Services,privatelocal,1.0,Asia & Pacific,China,0.0,Japan ,13.1,East Asia,7.0,44.099998,471.0,912.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pangea Green Energy,11.84,1,Business consulting and others,Environmental Services,privateglobal,0.0,Asia & Pacific,Philippines,0.0,Italy ,1.6,Southeast Asia,10.0,116.3,1163.0,1163.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Perenia,21.8380004,5,Industrials,Waste & Environ Svcs & Equip,privatelocal,0.6,Asia & Pacific,Vietnam,0.2,Australia ,40.519999399999996,Southeast Asia,7.0,65.47999960000001,493.2,1149.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Platinum Partners Value Arbitrage Fund,10.433636418181816,11,Financials,Asset Management,privatelocal,0.45454545454545453,Asia & Pacific,China,0.0,United K. ,31.672726990909094,East Asia,7.545454545454546,56.09999945454546,446.1818181818182,888.5454545454545,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Quality Carbon Assets,10.563846338461538,13,Financials,Asset Management,privateglobal,0.5384615384615384,Asia & Pacific,China,0.0,Switzerland ,29.90769235384615,East Asia,7.0,75.42307700000002,618.0769230769231,1372.5384615384614,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
RNK Capital,15.4,1,Financials,Asset Management,privateglobal,0.0,Asia & Pacific,Vietnam,0.0,United States,17.1,Southeast Asia,7.0,53.799999,422.0,960.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RWE Power AG,10.645294237254902,51,Utilities,Utilities,privatelocal,0.3333333333333333,Asia & Pacific,Vietnam,0.0,United K. ,38.773060622040816,Southern Asia,7.588235294117647,122.39019596078433,1229.3529411764705,2008.3725490196077,0.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0
RWE Supply & Trading Switzerland S.A.,12.503333355555553,27,Energy,"Oil, Gas & Coal",privateglobal,0.037037037037037035,Asia & Pacific,China,0.0,Switzerland ,54.329629629629636,East Asia,7.0,97.72962874074074,920.5925925925926,1898.0740740740741,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0
Rabobank,12.436666666666667,3,Financials (Special),Specialty Finance,privateglobal,0.0,Asia & Pacific,China,0.0,Netherlands ,47.666666666666664,East Asia,7.0,98.23333266666667,1018.0,1932.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Renaissance Carbon Investment,10.744,10,Business consulting and others,Environmental Services,privateglobal,0.2,Asia & Pacific,China,0.0,United K. ,27.235999999999997,East Asia,7.6,85.4399993,790.3,1457.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Rhodia,11.842500075,4,Industrials,Waste & Environ Svcs & Equip,privatelocal,0.5,Asia & Pacific,Vietnam,0.25,United K. ,8.9749999,Southeast Asia,8.5,61.1750014,531.75,789.75,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Royal Bank of Scotland,10.66,1,Financials,Banking,privateglobal,0.0,Asia & Pacific,China,0.0,United K. ,23.6,East Asia,7.0,67.699997,621.0,1298.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SIA Climate Futures,10.47,1,Business consulting and others,Environmental Services,privatelocal,1.0,Asia & Pacific,China,0.0,Sweden ,8.5,East Asia,7.0,21.6,173.0,389.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SSE Energy Supply Ltd,10.778,5,Utilities,Utilities,privatelocal,0.0,Asia & Pacific,China,0.0,United K. ,60.8199996,East Asia,7.0,120.08000000000001,1178.4,2199.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Shell Trading,12.058333345833331,24,Energy,"Oil, Gas & Coal",privateglobal,0.08333333333333333,Asia & Pacific,China,0.0,United K. ,67.8875001125,East Asia,7.0,125.92083262500002,1100.125,2350.625,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
Sindicatum Carbon Capital,15.359999875,8,Industrials,Environmental Services,privatelocal,0.125,Asia & Pacific,Indonesia,0.0,United K. ,45.9124987625,Southeast Asia,7.375,210.9500025,2099.75,3884.375,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Smart Energy,11.053333383333333,6,Consumer Discretionary,Commercial Services,privatelocal,0.6666666666666666,Asia & Pacific,China,0.0,Japan ,52.050000383333334,East Asia,7.0,88.91666516666665,794.5,1682.8333333333333,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Sojitz Corporation,10.07,1,Materials,Chemicals,privatelocal,0.0,Asia & Pacific,China,0.0,Japan ,98.699997,East Asia,7.0,538.40002,5388.0,10775.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Solvay,10.65500015,2,Industrials,Waste & Environ Svcs & Equip,privatelocal,1.0,Europe & Central Asia,China,0.0,France ,14.8500005,Europe,8.5,40.3999995,304.5,534.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
South Pole Carbon Asset Management,10.568666713333332,15,Financials (Special),Specialty Finance,privateglobal,0.6,Asia & Pacific,Thailand,0.4,Switzerland ,13.933333366666668,Southeast Asia,7.4,62.260000600000005,593.2,1014.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Spanish Carbon Fund,27.523332666666665,3,Government,Supranationals,MDB,0.0,Latin America,Tunisia,0.0,Spain ,135.83333333333334,North America,7.0,143.06666399999997,1263.0,2694.6666666666665,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Standard Bank,10.638571471428573,7,Financials,Banking,privateglobal,0.5714285714285714,Asia & Pacific,China,0.0,United K. ,17.342857314285716,East Asia,7.0,59.84285928571428,661.0,1228.5714285714287,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Statkraft Markets GmbH,16.896666666666665,3,Utilities,Utilities,privateglobal,0.3333333333333333,Latin America,Colombia,0.3333333333333333,Norway ,58.433333000000005,South America,7.0,38.766667000000005,387.0,775.3333333333334,0.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0
Sumitomo,11.50500005,18,Industrials,Industrial Services,privatelocal,0.05555555555555555,Asia & Pacific,China,0.0,Japan ,67.83888961111111,East Asia,7.333333333333333,195.90000072222222,1958.2222222222222,3698.777777777778,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Swedish Energy Agency,12.24,6,Government,Supranationals,MDB,0.0,Asia & Pacific,China,0.0,Sweden ,75.68333333333334,East Asia,7.0,138.54999666666666,1364.1666666666667,2750.3333333333335,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Swiss Carbon Asset,14.043846092307692,13,Financials (Special),Specialty Finance,privateglobal,0.46153846153846156,Asia & Pacific,Thailand,0.46153846153846156,Switzerland ,29.37692306923077,Southern Asia,8.153846153846153,102.68461624615384,812.4615384615385,1449.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
Swiss Re,13.025,2,Financials,Insurance,privatelocal,0.5,Asia & Pacific,China,0.5,Netherlands ,36.4499984,East Asia,8.5,72.35,701.0,1257.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Tepia,10.510000075,4,Consumer Discretionary,Commercial Services,privateglobal,0.75,Asia & Pacific,China,0.0,Japan ,11.17500025,East Asia,10.0,68.54999975,594.75,685.5,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"The Kansai Electric Power Co., Inc.",23.690001000000002,1,Utilities,Utilities,privatelocal,1.0,Asia & Pacific,Vietnam,0.0,Japan ,13.5,Southeast Asia,7.0,23.700001,246.0,483.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The Tokyo Electric Power Company,10.656000180000001,5,Utilities,Utilities,privatelocal,0.0,Asia & Pacific,China,0.0,Japan ,51.959999800000006,East Asia,7.0,135.84,1445.8,2670.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Timing Carbon UK,14.0,5,Consumer Discretionary,Environmental Services,privatelocal,0.2,Asia & Pacific,China,0.0,United K. ,33.7599996,East Asia,7.0,44.100001000000006,380.8,822.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"Tohoku Electric Power Co., Inc.",10.0,1,Utilities,Utilities,privatelocal,0.0,Asia & Pacific,China,0.0,Japan ,20.799999,East Asia,7.0,118.1,1182.0,1918.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Topic Energo,10.0,2,Business consulting and others,Environmental Services,privatelocal,1.0,Asia & Pacific,North Korea,0.0,Czech Republic ,7.29999995,East Asia,7.0,33.6000005,254.5,590.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Toshiba,11.84,2,Industrials,Electrical Equipment,privateglobal,1.0,Asia & Pacific,Vietnam,0.0,Japan ,2.3500000500000002,Southeast Asia,10.0,41.1000005,411.0,411.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Total Gas & Power,12.279374999999998,16,Utilities,Utilities,privatelocal,0.0,Asia & Pacific,China,0.0,United K. ,78.98750025000001,East Asia,7.0,155.6312510625,1422.875,2980.125,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
Toyota,9.0,1,Consumer Discretionary,Automotive,privateglobal,0.0,Asia & Pacific,China,0.0,Japan ,6.3000002,East Asia,10.0,119.1,1122.0,1191.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Trading Emissions,10.57000012173913,23,Financials (Special),Specialty Finance,privatelocal,0.21739130434782608,Asia & Pacific,China,0.0,United K. ,105.11363548636359,East Asia,7.130434782608695,285.7434786086957,2836.521739130435,5655.391304347826,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0
Treasure Boat,11.450000099999999,3,Financials (Special),Specialty Finance,privatelocal,0.0,Asia & Pacific,China,0.0,United K. ,53.59999966666667,East Asia,8.0,89.06666566666667,745.3333333333334,1406.3333333333333,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Tricorona Carbon Asset Management Sweden,10.0,1,Financials (Special),Specialty Finance,privateglobal,0.0,Asia & Pacific,China,0.0,Netherlands ,106.7,East Asia,7.0,317.89999,3421.0,6601.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Tricorona Carbon Asset Management Sweden+Government of Sweden,13.223333333333334,3,Financials (Special),Specialty Finance,privateglobal,0.0,Asia & Pacific,China,0.0,Sweden ,66.63333366666667,East Asia,7.0,118.56666666666666,1278.3333333333333,2464.6666666666665,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
UPM,9.34,5,Financials (Special),Specialty Finance,privateglobal,1.0,Asia & Pacific,Pakistan,0.0,United K. ,7.860000000000001,Southern Asia,9.4,34.9400002,292.0,395.4,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Ultimate Carbon Trading,12.44,3,Business consulting and others,Environmental Services,privatelocal,0.0,Asia & Pacific,China,0.0,United K. ,61.36666466666666,East Asia,7.0,95.10000000000001,810.0,1761.6666666666667,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
United Carbon Credits,12.459999999999999,5,Financials (Special),Specialty Finance,privatelocal,0.0,Asia & Pacific,China,0.0,United K. ,73.4399996,East Asia,7.0,153.35999999999999,1256.4,2790.8,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
VROM,11.946666666666667,3,Government,Government Agencies,Government,0.6666666666666666,Asia & Pacific,Rwanda,0.6666666666666666,Netherlands ,21.566666333333334,Southern Asia,8.0,67.8,682.6666666666666,1281.3333333333333,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Vattenfall,11.621818290909088,11,Financials,Asset Management,privatelocal,0.0,Asia & Pacific,Vietnam,0.0,Sweden ,40.77272661818183,Southeast Asia,8.909090909090908,117.60908990909091,1120.6363636363637,1595.6363636363637,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Velcan Energy,15.4,1,Utilities,Utilities,privateglobal,1.0,Asia & Pacific,India,1.0,France ,1.8,Southern Asia,7.0,19.6,274.0,398.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Vietnam Carbon Assets,23.5,1,Financials (Special),Specialty Finance,privatelocal,0.0,Asia & Pacific,Vietnam,1.0,Switzerland ,37.5,Southeast Asia,7.0,58.700001,529.0,1116.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Vitol,11.66899413786984,169,Energy,"Oil, Gas & Coal",privateglobal,0.11242603550295859,Middle-East,Vietnam,0.0,Switzerland ,78.1179288402367,Southeast Asia,7.071005917159764,196.44911280710056,1728.9467455621302,3662.698224852071,0.0,168.0,0.0,0.0,1.0,0.9940828402366864,0.0,0.0,0.005917159763313609,0.0,0.0,168.0,0.0,0.0,1.0,0.0,168.0,0.0,0.0,1.0
Voestalpine,11.504285757142856,7,Materials,Iron & Steel,privatelocal,0.5714285714285714,Asia & Pacific,China,0.0,United K. ,24.285714371428572,East Asia,8.714285714285714,66.242857,663.8571428571429,1028.142857142857,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Wienerberger,9.4700003,1,Materials,Construction Materials,privatelocal,1.0,Asia & Pacific,China,0.0,Austria ,9.6000004,East Asia,7.0,29.0,268.0,558.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
World Carbon Credit Investment,12.44,1,Financials (Special),Specialty Finance,privateglobal,0.0,Asia & Pacific,China,0.0,Sweden ,65.599998,East Asia,7.0,116.0,1061.0,2221.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Zero Emissions Technologies,16.69333333333333,3,Business consulting and others,Environmental Services,privatelocal,0.6666666666666666,Latin America,Uruguay,0.0,Spain ,47.36667,South America,9.0,38.49999906666667,298.0,604.3333333333334,0.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0
